epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2391.48,1.80794,1.78666,1.19894,0.63626,0.54662,0.58861,0.32228,1.46957,1.05196,1.02231,0.00037001,0.00037001,0.00037001
2,3885.33,1.59262,1.07276,1.12454,0.69857,0.58163,0.63961,0.36425,1.36659,0.92792,0.99269,0.00066705,0.00066705,0.00066705
3,5360.93,1.53976,0.97336,1.10273,0.7511,0.6077,0.68393,0.3862,1.27778,0.85322,0.97319,0.000890763,0.000890763,0.000890763
4,6725.81,1.50292,0.91427,1.08783,0.72855,0.6321,0.70223,0.40377,1.26519,0.80643,0.96701,0.000781033,0.000781033,0.000781033
5,8114.63,1.46159,0.86605,1.07361,0.74052,0.6313,0.70833,0.41755,1.23592,0.7721,0.96034,0.000671044,0.000671044,0.000671044
6,9477.44,1.43816,0.83718,1.06293,0.74196,0.66457,0.7296,0.42805,1.24051,0.73488,0.9554,0.000561055,0.000561055,0.000561055
7,10717.2,1.4111,0.81272,1.05134,0.7541,0.66797,0.73668,0.43303,1.21425,0.73334,0.94467,0.000451066,0.000451066,0.000451066
8,11941.1,1.38361,0.78859,1.04341,0.75062,0.69011,0.75356,0.44959,1.17357,0.70336,0.94011,0.000341077,0.000341077,0.000341077
9,13174.1,1.36604,0.7718,1.03314,0.79026,0.65669,0.75091,0.45245,1.17327,0.6873,0.93743,0.000231088,0.000231088,0.000231088
10,14407.2,1.34285,0.75342,1.02815,0.78383,0.68591,0.76051,0.46525,1.15112,0.67309,0.93188,0.000121099,0.000121099,0.000121099
